participant_id,domain,switch_rate
2,art_history,0.0
2,ecology,1.0
9,psychology,1.0
9,ecology,0.6
12,ecology,0.5
12,economics,0.0
13,economics,0.0
13,art_history,0.5
15,psychology,0.5
15,art_history,0.0
17,economics,0.0
17,ecology,0.2
19,psychology,0.0
19,art_history,0.0
20,ecology,0.10526315789473684
20,psychology,0.4
21,economics,0.3333333333333333
21,art_history,0.0
25,economics,0.0
25,psychology,
26,art_history,0.6666666666666666
26,psychology,0.0
28,psychology,0.0
28,art_history,0.0
29,psychology,0.0
29,ecology,0.0
35,ecology,0.0
35,economics,0.0
37,art_history,0.17647058823529413
37,psychology,0.5714285714285714
44,economics,0.0
44,ecology,0.6363636363636364
46,ecology,0.0
46,psychology,0.0
49,psychology,0.0
49,economics,
50,art_history,0.0
50,ecology,0.25
51,psychology,0.0
51,ecology,0.0
